genero,ocupacion,sector,edad,escolaridad,informal,municipio,factor
F,independiente,Servicios,25-49,Primaria o Secundaria,1,apodaca,437
H,independiente,Construcción,25-49,Primaria o Secundaria,1,apodaca,437
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,1,apodaca,437
F,trabajador,Industria manufacturera,50-59,Carrera técnica o preparatoria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
F,independiente,Comercio,60-64,Primaria o Secundaria,1,apodaca,437
H,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,apodaca,437
F,trabajador,Servicios,50-59,Primaria o Secundaria,0,apodaca,437
H,trabajador,Construcción,50-59,Primaria o Secundaria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,apodaca,437
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,467
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,467
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,apodaca,467
H,trabajador,Construcción,25-49,Licenciatura,0,apodaca,467
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,apodaca,426
F,trabajador,Servicios,50-59,Licenciatura,0,apodaca,426
H,trabajador,Servicios,50-59,Licenciatura,0,apodaca,426
F,independiente,Comercio,50-59,Primaria o Secundaria,1,apodaca,426
F,trabajador,Servicios,25-49,Licenciatura,1,apodaca,426
H,trabajador,Gobierno,25-49,Licenciatura,0,guadalupe,350
F,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,350
H,trabajador,Construcción,25-49,Carrera técnica o preparatoria,0,guadalupe,350
H,trabajador,Servicios,65-130,Licenciatura,0,guadalupe,350
F,trabajador,Servicios,60-64,Licenciatura,0,guadalupe,350
F,independiente,Comercio,65-130,Sin Instrucción,1,guadalupe,350
H,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,350
F,trabajador,Gobierno,25-49,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Construcción,18-24,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Otro,25-49,Carrera técnica o preparatoria,1,monterrey,354
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,354
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,354
H,trabajador,Comercio,60-64,Licenciatura,0,monterrey,403
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,15-17,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,387
H,independiente,Construcción,50-59,Carrera técnica o preparatoria,1,monterrey,387
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,monterrey,387
F,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,387
H,otro,Comercio,60-64,Primaria o Secundaria,1,monterrey,387
F,independiente,Comercio,65-130,Carrera técnica o preparatoria,0,monterrey,387
H,otro,Servicios,18-24,Licenciatura,1,monterrey,387
H,independiente,Comercio,65-130,Primaria o Secundaria,0,monterrey,387
H,independiente,Servicios,25-49,Carrera técnica o preparatoria,1,monterrey,387
F,trabajador,Comercio,25-49,Primaria o Secundaria,0,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,444
F,trabajador,Comercio,25-49,Licenciatura,1,santa_catarina,444
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,santa_catarina,444
F,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,santa_catarina,444
F,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,santa_catarina,444
H,trabajador,Construcción,25-49,Primaria o Secundaria,0,santa_catarina,444
H,independiente,Construcción,50-59,Primaria o Secundaria,1,santa_catarina,444
H,trabajador,Comercio,65-130,Primaria o Secundaria,1,santa_catarina,444
H,independiente,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,444
H,trabajador,Construcción,50-59,Licenciatura,0,san_nicolas,392
H,trabajador,Industria manufacturera,50-59,Carrera técnica o preparatoria,0,san_nicolas,392
H,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,392
F,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,392
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,0,san_nicolas,392
F,trabajador,Gobierno,50-59,Licenciatura,0,san_nicolas,392
H,trabajador,Gobierno,25-49,Licenciatura,0,san_nicolas,392
H,independiente,Comercio,25-49,Licenciatura,1,san_nicolas,434
H,independiente,Comercio,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Transporte y comunicaciones,60-64,Carrera técnica o preparatoria,0,san_nicolas,434
F,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,434
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,san_nicolas,434
H,trabajador,Industria manufacturera,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,434
H,independiente,Industria manufacturera,50-59,Primaria o Secundaria,1,apodaca,381
F,otro,Industria manufacturera,50-59,Primaria o Secundaria,1,apodaca,381
H,independiente,Servicios,50-59,Licenciatura,1,apodaca,381
F,trabajador,Servicios,25-49,Licenciatura,1,apodaca,381
F,trabajador,Servicios,18-24,Licenciatura,1,apodaca,381
H,trabajador,Comercio,25-49,Postgrado,0,apodaca,381
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,apodaca,381
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,381
H,independiente,Comercio,25-49,Primaria o Secundaria,1,apodaca,381
F,trabajador,Comercio,18-24,Carrera técnica o preparatoria,0,apodaca,381
F,trabajador,Gobierno,50-59,Carrera técnica o preparatoria,0,apodaca,381
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
F,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
H,trabajador,Servicios,50-59,Primaria o Secundaria,0,apodaca,441
F,trabajador,Industria manufacturera,60-64,Primaria o Secundaria,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,441
F,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,441
F,trabajador,Servicios,50-59,Licenciatura,0,apodaca,441
F,trabajador,Servicios,25-49,Licenciatura,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
F,trabajador,Servicios,18-24,Licenciatura,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,395
H,trabajador,Gobierno,25-49,Licenciatura,1,guadalupe,395
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,395
H,trabajador,Industria manufacturera,18-24,Licenciatura,1,guadalupe,395
H,independiente,Transporte y comunicaciones,65-130,Primaria o Secundaria,0,guadalupe,395
F,trabajador,Gobierno,50-59,Licenciatura,0,guadalupe,395
H,trabajador,Construcción,25-49,Licenciatura,0,guadalupe,395
F,trabajador,Servicios,25-49,Postgrado,0,guadalupe,395
F,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,391
F,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,guadalupe,391
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,guadalupe,391
F,independiente,Servicios,60-64,Primaria o Secundaria,1,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,391
H,trabajador,Servicios,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Construcción,18-24,Carrera técnica o preparatoria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,391
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Construcción,60-64,Primaria o Secundaria,1,guadalupe,391
F,independiente,Comercio,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Transporte y comunicaciones,25-49,Licenciatura,0,guadalupe,391
F,trabajador,Servicios,18-24,Primaria o Secundaria,0,guadalupe,391
F,trabajador,Servicios,15-17,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,monterrey,372
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,372
H,trabajador,Construcción,50-59,Primaria o Secundaria,0,monterrey,372
H,independiente,Comercio,25-49,Carrera técnica o preparatoria,1,monterrey,372
H,independiente,Comercio,65-130,Primaria o Secundaria,1,monterrey,372
F,otro,Comercio,65-130,Primaria o Secundaria,1,monterrey,372
H,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,monterrey,372
F,trabajador,Servicios,50-59,Licenciatura,0,monterrey,556
H,trabajador,Industria manufacturera,50-59,Licenciatura,0,monterrey,556
F,trabajador,Otro,25-49,Licenciatura,0,monterrey,556
H,trabajador,Gobierno,50-59,Licenciatura,0,monterrey,556
F,trabajador,Servicios,25-49,Licenciatura,0,monterrey,556
H,independiente,Servicios,25-49,Carrera técnica o preparatoria,1,monterrey,556
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,556
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Servicios,65-130,Primaria o Secundaria,0,monterrey,356
H,trabajador,Construcción,18-24,Carrera técnica o preparatoria,1,monterrey,356
H,independiente,Construcción,50-59,Primaria o Secundaria,1,monterrey,356
F,trabajador,Servicios,50-59,Primaria o Secundaria,1,monterrey,356
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,monterrey,356
F,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,monterrey,356
H,trabajador,Comercio,18-24,Carrera técnica o preparatoria,1,monterrey,356
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,1,monterrey,356
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,monterrey,356
H,trabajador,Industria manufacturera,12-14,Primaria o Secundaria,1,monterrey,356
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,san_nicolas,410
F,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,410
F,trabajador,Industria manufacturera,50-59,Postgrado,0,san_nicolas,410
H,trabajador,Construcción,50-59,Licenciatura,0,san_nicolas,410
H,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,410
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,san_nicolas,410
H,trabajador,Servicios,50-59,Primaria o Secundaria,0,san_nicolas,410
H,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,392
F,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,guadalupe,392
H,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,guadalupe,392
H,trabajador,Comercio,25-49,Licenciatura,0,guadalupe,392
H,trabajador,Otro,18-24,Primaria o Secundaria,0,guadalupe,392
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,1,guadalupe,392
H,trabajador,Comercio,15-17,Primaria o Secundaria,1,guadalupe,392
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,392
H,trabajador,Gobierno,25-49,Carrera técnica o preparatoria,0,guadalupe,405
H,trabajador,Comercio,25-49,Primaria o Secundaria,1,guadalupe,405
F,trabajador,Servicios,25-49,Licenciatura,1,guadalupe,405
F,trabajador,Servicios,60-64,Licenciatura,0,guadalupe,405
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,1,guadalupe,405
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,guadalupe,405
H,trabajador,Construcción,50-59,Carrera técnica o preparatoria,0,guadalupe,405
F,trabajador,Industria manufacturera,50-59,Carrera técnica o preparatoria,0,guadalupe,405
F,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,405
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,escobedo,370
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,escobedo,370
H,trabajador,Construcción,25-49,Primaria o Secundaria,1,escobedo,370
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,escobedo,370
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,escobedo,370
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,escobedo,370
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,escobedo,370
F,independiente,Servicios,50-59,Primaria o Secundaria,1,guadalupe,421
H,trabajador,Comercio,18-24,Carrera técnica o preparatoria,0,guadalupe,421
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,421
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,421
F,independiente,Comercio,25-49,Carrera técnica o preparatoria,1,guadalupe,421
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,guadalupe,421
H,trabajador,Servicios,25-49,Carrera técnica o preparatoria,1,guadalupe,421
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,431
H,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,guadalupe,431
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,guadalupe,431
H,independiente,Servicios,25-49,Licenciatura,0,guadalupe,431
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,guadalupe,431
F,trabajador,Servicios,18-24,Licenciatura,1,guadalupe,431
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,guadalupe,431
H,independiente,Comercio,50-59,Primaria o Secundaria,1,apodaca,361
F,otro,Comercio,50-59,Primaria o Secundaria,1,apodaca,361
F,independiente,Comercio,60-64,Primaria o Secundaria,1,apodaca,361
F,independiente,Servicios,25-49,Licenciatura,0,apodaca,361
H,trabajador,Transporte y comunicaciones,50-59,Carrera técnica o preparatoria,0,apodaca,361
H,trabajador,Servicios,25-49,Licenciatura,0,apodaca,361
H,independiente,Servicios,25-49,Licenciatura,1,apodaca,361
F,independiente,Servicios,25-49,Licenciatura,1,apodaca,361
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,monterrey,486
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,monterrey,486
F,trabajador,Servicios,25-49,Licenciatura,0,monterrey,486
H,trabajador,Construcción,60-64,Primaria o Secundaria,1,monterrey,486
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,486
H,trabajador,Construcción,25-49,Primaria o Secundaria,0,monterrey,486
H,trabajador,Comercio,25-49,Primaria o Secundaria,1,monterrey,486
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,monterrey,486
H,independiente,Servicios,50-59,Carrera técnica o preparatoria,1,monterrey,486
F,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,monterrey,486
H,trabajador,Construcción,25-49,Primaria o Secundaria,1,monterrey,486
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,486
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,san_nicolas,414
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,san_nicolas,414
H,trabajador,Comercio,60-64,Carrera técnica o preparatoria,1,san_nicolas,414
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,san_nicolas,414
H,trabajador,Gobierno,25-49,Primaria o Secundaria,0,san_nicolas,414
H,trabajador,Otro,18-24,Primaria o Secundaria,1,san_nicolas,414
H,trabajador,Construcción,25-49,Carrera técnica o preparatoria,0,san_nicolas,414
F,otro,Construcción,50-59,Carrera técnica o preparatoria,1,san_nicolas,414
H,trabajador,Servicios,50-59,Licenciatura,1,san_nicolas,432
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,san_nicolas,432
F,trabajador,Industria manufacturera,18-24,Licenciatura,0,san_nicolas,432
H,trabajador,Industria manufacturera,50-59,Licenciatura,0,san_nicolas,432
F,trabajador,Comercio,18-24,Licenciatura,1,san_nicolas,432
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,san_nicolas,432
H,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,432
H,independiente,Transporte y comunicaciones,50-59,Primaria o Secundaria,1,juarez,545
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,juarez,545
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,1,juarez,545
H,independiente,Industria manufacturera,65-130,Licenciatura,1,juarez,545
F,independiente,Comercio,50-59,Carrera técnica o preparatoria,1,juarez,545
H,trabajador,Comercio,18-24,Carrera técnica o preparatoria,0,juarez,545
H,independiente,Servicios,60-64,Primaria o Secundaria,1,santa_catarina,414
F,otro,Servicios,50-59,Primaria o Secundaria,1,santa_catarina,414
H,trabajador,Industria manufacturera,18-24,Licenciatura,0,santa_catarina,414
F,trabajador,Servicios,65-130,Primaria o Secundaria,1,santa_catarina,414
H,independiente,Servicios,65-130,Primaria o Secundaria,0,santa_catarina,414
H,independiente,Industria manufacturera,60-64,Primaria o Secundaria,1,guadalupe,452
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,guadalupe,452
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,452
H,trabajador,Construcción,25-49,Primaria o Secundaria,1,guadalupe,452
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,452
H,trabajador,Industria manufacturera,15-17,Primaria o Secundaria,0,guadalupe,452
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,452
H,trabajador,Servicios,18-24,Licenciatura,0,guadalupe,452
H,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,guadalupe,452
H,trabajador,Comercio,25-49,Primaria o Secundaria,0,guadalupe,452
F,independiente,Servicios,25-49,Primaria o Secundaria,1,guadalupe,452
F,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,520
H,trabajador,Servicios,50-59,Licenciatura,0,guadalupe,520
H,independiente,Construcción,65-130,Carrera técnica o preparatoria,1,guadalupe,520
H,trabajador,Servicios,50-59,Licenciatura,0,guadalupe,520
F,trabajador,Comercio,25-49,Primaria o Secundaria,1,guadalupe,520
H,trabajador,Otro,25-49,Primaria o Secundaria,0,guadalupe,520
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,guadalupe,520
F,trabajador,Servicios,60-64,Carrera técnica o preparatoria,1,escobedo,401
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,escobedo,401
H,independiente,Servicios,50-59,Primaria o Secundaria,1,escobedo,401
F,trabajador,Servicios,25-49,Licenciatura,0,escobedo,401
F,independiente,Comercio,25-49,Primaria o Secundaria,1,escobedo,357
F,trabajador,Gobierno,25-49,Primaria o Secundaria,1,escobedo,357
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,escobedo,357
H,trabajador,Transporte y comunicaciones,50-59,Sin Instrucción,1,escobedo,357
H,independiente,Comercio,25-49,Sin Instrucción,1,escobedo,357
F,trabajador,Comercio,18-24,Primaria o Secundaria,0,escobedo,357
F,trabajador,Servicios,60-64,Primaria o Secundaria,0,guadalupe,418
H,trabajador,Construcción,25-49,Primaria o Secundaria,1,guadalupe,418
H,trabajador,Construcción,25-49,Primaria o Secundaria,0,guadalupe,418
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,418
F,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,guadalupe,418
H,trabajador,Servicios,18-24,Licenciatura,0,apodaca,398
F,trabajador,Comercio,50-59,Carrera técnica o preparatoria,0,apodaca,398
F,trabajador,Servicios,25-49,Licenciatura,0,apodaca,398
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,398
F,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,398
H,independiente,Industria manufacturera,25-49,Carrera técnica o preparatoria,1,apodaca,398
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,apodaca,398
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,apodaca,398
H,trabajador,Servicios,18-24,Carrera técnica o preparatoria,0,apodaca,398
H,trabajador,Comercio,50-59,Carrera técnica o preparatoria,0,apodaca,398
F,trabajador,Industria manufacturera,50-59,Licenciatura,0,apodaca,398
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,apodaca,398
H,independiente,Transporte y comunicaciones,50-59,Primaria o Secundaria,1,escobedo,651
F,trabajador,Servicios,25-49,Licenciatura,0,escobedo,651
H,independiente,Construcción,25-49,Primaria o Secundaria,1,escobedo,651
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,escobedo,651
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,escobedo,651
H,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,escobedo,651
F,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,escobedo,651
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,1,escobedo,406
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,escobedo,406
H,trabajador,Transporte y comunicaciones,60-64,Carrera técnica o preparatoria,0,escobedo,406
F,independiente,Servicios,65-130,Carrera técnica o preparatoria,0,escobedo,406
H,trabajador,Servicios,25-49,Licenciatura,0,escobedo,406
H,trabajador,Servicios,25-49,Licenciatura,1,escobedo,406
F,trabajador,Otro,50-59,Carrera técnica o preparatoria,1,escobedo,406
F,trabajador,Servicios,65-130,Primaria o Secundaria,1,escobedo,406
H,trabajador,Comercio,18-24,Carrera técnica o preparatoria,1,escobedo,406
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,381
F,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,apodaca,381
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,apodaca,381
H,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,apodaca,381
F,trabajador,Comercio,25-49,Primaria o Secundaria,0,apodaca,381
H,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,apodaca,381
F,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,apodaca,381
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,apodaca,381
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,apodaca,381
F,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,apodaca,381
H,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,apodaca,391
F,independiente,Comercio,18-24,Primaria o Secundaria,1,apodaca,391
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,apodaca,391
H,trabajador,Servicios,25-49,Licenciatura,0,apodaca,391
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,apodaca,391
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,apodaca,391
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,apodaca,391
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,apodaca,391
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,apodaca,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,escobedo,492
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,escobedo,492
F,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,escobedo,492
F,independiente,Comercio,50-59,Licenciatura,1,escobedo,492
H,trabajador,Servicios,25-49,Carrera técnica o preparatoria,1,escobedo,477
H,independiente,Transporte y comunicaciones,25-49,Primaria o Secundaria,1,escobedo,477
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,escobedo,477
H,trabajador,Transporte y comunicaciones,18-24,Primaria o Secundaria,0,escobedo,477
H,independiente,Transporte y comunicaciones,25-49,Primaria o Secundaria,1,escobedo,477
F,trabajador,Transporte y comunicaciones,25-49,Licenciatura,0,juarez,336
H,trabajador,Servicios,25-49,Licenciatura,0,juarez,336
F,trabajador,Gobierno,18-24,Carrera técnica o preparatoria,0,juarez,336
F,trabajador,Servicios,50-59,Primaria o Secundaria,1,guadalupe,580
H,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,580
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,580
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,580
H,trabajador,Comercio,18-24,Licenciatura,0,guadalupe,580
H,trabajador,Comercio,25-49,Licenciatura,0,guadalupe,580
H,independiente,Transporte y comunicaciones,25-49,Licenciatura,1,guadalupe,580
H,trabajador,Construcción,65-130,Postgrado,0,monterrey,501
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,monterrey,501
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,501
H,trabajador,Gobierno,50-59,Licenciatura,0,monterrey,501
H,trabajador,Comercio,25-49,Licenciatura,0,monterrey,501
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,santa_catarina,369
H,trabajador,Transporte y comunicaciones,50-59,Primaria o Secundaria,0,santa_catarina,369
F,independiente,Comercio,25-49,Primaria o Secundaria,1,santa_catarina,369
H,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,santa_catarina,369
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,santa_catarina,369
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,santa_catarina,369
F,trabajador,Servicios,25-49,Licenciatura,0,santa_catarina,369
H,trabajador,Gobierno,25-49,Primaria o Secundaria,0,santa_catarina,369
F,trabajador,Servicios,25-49,Licenciatura,0,santa_catarina,369
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,santa_catarina,400
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,400
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,santa_catarina,400
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,santa_catarina,400
F,trabajador,Servicios,18-24,Primaria o Secundaria,0,santa_catarina,400
H,trabajador,Transporte y comunicaciones,25-49,Primaria o Secundaria,0,santa_catarina,400
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,400
H,trabajador,Comercio,25-49,Primaria o Secundaria,0,santa_catarina,400
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,santa_catarina,400
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,santa_catarina,400
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,santa_catarina,400
F,trabajador,Servicios,18-24,Licenciatura,0,santa_catarina,400
F,trabajador,Industria manufacturera,25-49,Licenciatura,0,santiago,587
H,independiente,Construcción,50-59,Licenciatura,1,santiago,587
F,trabajador,Comercio,25-49,Licenciatura,1,santiago,587
H,trabajador,Servicios,50-59,Licenciatura,0,santiago,587
H,trabajador,Servicios,25-49,Licenciatura,0,santiago,587
H,trabajador,Industria manufacturera,18-24,Licenciatura,0,santiago,587
H,trabajador,Gobierno,25-49,Carrera técnica o preparatoria,0,santiago,587
